Precon,Solver,SeqGS,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,GradientSolver,pre,post,cells,perf
1,1,0,1,0,0,0,1,2,5,50,7319.55857142857
1,1,1,0,0,0,1,0,1,0,50,13218.689285714287
1,1,0,1,0,0,1,0,0,4,51,7655.855357142856
1,1,1,0,0,0,1,0,2,1,52,11976.664285714285
1,1,1,0,0,0,1,0,2,6,53,9882.7925
1,1,1,0,0,0,0,1,2,2,51,9154.703928571429
1,1,1,0,0,1,0,0,1,2,53,10050.642500000002
1,1,1,0,0,0,0,1,1,0,51,11569.489285714286
1,1,1,0,0,0,1,0,3,5,51,9130.739642857143
1,1,1,0,0,0,1,0,2,3,55,10580.721428571429
1,1,0,1,0,1,0,0,3,1,50,9600.6725
1,1,0,1,1,0,0,0,4,5,50,7374.263214285714
1,1,0,1,0,1,0,0,2,1,50,9632.08392857143
1,1,1,0,1,0,0,0,4,1,52,12330.353571428572
1,1,1,0,0,1,0,0,0,2,53,10082.863571428572
1,1,0,1,0,1,0,0,3,5,53,10800.989285714288
1,1,1,0,0,0,0,1,0,6,50,6634.912499999998
1,1,1,0,1,0,0,0,4,1,50,8753.800714285715
1,1,1,0,0,0,0,1,4,6,53,7731.5153571428555
1,1,0,1,0,1,0,0,1,5,54,11265.485714285713
1,1,1,0,0,1,0,0,3,4,53,9883.890357142856
1,1,1,0,0,1,0,0,4,5,50,6610.518928571428
1,1,1,0,0,0,0,1,0,6,52,7435.688928571426
1,1,1,0,0,0,0,1,3,3,53,10056.926428571429
1,1,0,1,0,1,0,0,1,1,54,14143.63928571429
1,1,0,1,0,0,1,0,4,5,55,11726.953571428572
1,1,1,0,0,0,1,0,1,0,52,16783.885714285716
1,1,1,0,1,0,0,0,1,3,50,8795.108214285716
1,1,1,0,0,0,0,1,5,5,54,7640.625357142858
1,1,1,0,0,0,0,1,1,6,55,7958.739999999998
1,1,0,1,0,0,1,0,0,4,53,10802.364285714284
1,1,1,0,0,0,1,0,1,2,51,6867.651428571429
1,1,1,0,0,1,0,0,2,3,50,8872.176071428568
1,1,1,0,0,1,0,0,1,2,52,9805.199642857144
1,1,0,1,1,0,0,0,5,4,52,10486.157142857144
1,1,1,0,0,0,1,0,6,5,51,6837.88607142857
1,1,1,0,0,1,0,0,0,1,53,22299.70357142857
1,1,0,1,1,0,0,0,5,1,55,14562.467857142854
1,1,1,0,0,0,0,1,3,6,54,7818.4071428571415
1,1,1,0,0,0,1,0,1,3,54,10409.453571428574
1,1,0,1,0,0,1,0,2,4,55,11676.982142857145
1,1,0,1,0,0,0,1,1,5,54,11257.614285714284
1,1,0,1,0,0,1,0,1,0,55,23177.10714285714
1,1,1,0,1,0,0,0,0,2,52,12169.199999999999
1,1,0,1,0,0,0,1,0,2,50,9772.779285714283
1,1,0,1,0,1,0,0,0,2,53,10826.932142857142
1,1,0,1,1,0,0,0,0,1,50,24028.20357142857
1,1,1,0,0,0,0,1,5,5,51,6927.4289285714285
1,1,0,1,0,1,0,0,1,2,55,11633.653571428571
1,1,1,0,1,0,0,0,4,5,53,9905.072142857145
1,1,0,1,1,0,0,0,3,3,53,10826.496428571427
1,1,0,1,0,1,0,0,5,0,55,14520.971428571429
1,1,0,1,0,1,0,0,5,2,52,10590.050000000001
1,1,1,0,1,0,0,0,1,2,50,8919.204642857141
1,1,0,1,0,1,0,0,3,0,55,17558.585714285713
1,1,0,1,0,0,1,0,0,1,51,14992.378571428575
1,1,1,0,0,0,0,1,3,3,55,10639.210714285715
1,1,0,1,1,0,0,0,5,5,50,7214.219285714286
1,1,1,0,1,0,0,0,2,6,52,7308.233214285713
1,1,0,1,0,1,0,0,0,5,51,10108.161071428573
1,1,1,0,0,0,1,0,4,6,52,7429.706071428572
1,1,1,0,0,0,1,0,3,6,54,10194.514285714284
1,1,1,0,1,0,0,0,6,6,50,6831.62
1,1,1,0,0,0,0,1,3,3,52,9742.049285714284
1,1,1,0,0,0,0,1,3,4,54,10614.732142857145
1,1,1,0,1,0,0,0,0,1,54,30644.571428571428
1,1,0,1,1,0,0,0,4,2,54,11187.917857142855
1,1,0,1,0,1,0,0,1,2,51,10018.908214285717
1,1,1,0,0,0,0,1,1,1,50,11102.321428571431
1,1,0,1,0,0,0,1,5,3,51,7626.6332142857145
1,1,1,0,0,0,1,0,6,4,52,9796.393214285714
1,1,0,1,0,0,0,1,3,5,52,7818.220357142856
1,1,0,1,0,0,0,1,2,5,51,7605.792142857143
1,1,1,0,0,0,1,0,4,5,52,7286.390357142857
1,1,1,0,0,1,0,0,5,0,53,14824.09642857143
1,1,1,0,0,0,0,1,0,5,55,10566.86071428571
1,1,0,1,0,1,0,0,0,5,55,11634.092857142854
1,1,1,0,0,1,0,0,1,4,55,10625.592857142856
1,1,0,1,0,0,1,0,0,5,55,11631.503571428575
1,1,1,0,0,1,0,0,4,0,54,15478.739285714288
1,1,1,0,1,0,0,0,2,0,55,18612.925
1,1,0,1,0,0,0,1,4,3,52,10482.296428571426
1,1,1,0,1,0,0,0,5,6,52,7479.9975
1,1,0,1,0,0,0,1,2,6,52,7893.027857142857
1,1,1,0,1,0,0,0,6,3,55,10633.114285714288
1,1,0,1,1,0,0,0,4,1,50,12111.321428571426
1,1,1,0,0,1,0,0,0,2,52,9602.479285714286
1,1,1,0,1,0,0,0,0,2,51,11420.835714285715
1,1,1,0,0,0,0,1,5,1,51,9100.629285714285
1,1,1,0,0,0,0,1,5,1,52,9757.888571428572
1,1,1,0,0,1,0,0,4,4,53,10003.841428571428
1,1,1,0,0,0,1,0,0,4,51,6884.062142857144
1,1,1,0,0,0,1,0,5,0,50,6713.296071428571
1,1,0,1,0,0,1,0,4,0,50,7303.246428571428
1,1,0,1,0,0,0,1,6,1,54,11234.460714285717
1,1,1,0,0,1,0,0,1,6,52,7274.241785714286
1,1,1,0,0,0,0,1,6,3,54,7669.565714285714
1,1,0,1,0,0,0,1,4,6,53,8222.682857142854
1,1,0,1,1,0,0,0,3,4,50,9677.890357142858
1,1,1,0,1,0,0,0,3,2,54,10333.800000000001
1,1,0,1,0,0,1,0,5,2,51,7644.741071428571
1,1,0,1,1,0,0,0,3,1,53,13598.42857142857
1,1,1,0,1,0,0,0,0,3,53,10214.850714285714
1,1,1,0,1,0,0,0,2,3,54,10300.5
1,1,0,1,0,1,0,0,5,6,53,10829.107142857143
1,1,1,0,0,0,0,1,5,4,50,6669.8674999999985
1,1,0,1,0,0,0,1,0,4,55,11601.69285714286
1,1,0,1,0,1,0,0,0,4,50,9826.567142857142
1,1,0,1,1,0,0,0,4,3,53,10966.385714285716
1,1,1,0,0,0,1,0,0,1,53,12337.825
1,1,1,0,0,0,0,1,5,0,51,11482.782142857139
1,1,0,1,1,0,0,0,4,1,51,12523.300000000001
1,1,1,0,0,0,1,0,1,3,52,7312.147857142857
1,1,1,0,0,0,1,0,1,2,55,10562.510714285716
1,1,1,0,1,0,0,0,5,4,50,8791.951071428572
1,1,1,0,0,0,1,0,5,0,51,9219.008214285715
1,1,0,1,0,0,0,1,3,2,54,11202.446428571426
1,1,0,1,0,1,0,0,6,1,54,11309.207142857142
1,1,1,0,1,0,0,0,4,0,54,15293.221428571425
1,1,0,1,0,1,0,0,3,2,52,10485.417857142855
1,1,0,1,0,0,1,0,1,4,50,7210.2410714285725
1,1,0,1,1,0,0,0,5,2,54,11262.850000000002
1,1,0,1,0,1,0,0,2,0,54,16810.97142857143
1,1,1,0,0,1,0,0,3,2,52,9541.009285714286
1,1,1,0,1,0,0,0,0,3,51,9131.808928571427
1,1,0,1,0,0,0,1,0,1,54,22407.632142857135
1,1,1,0,0,1,0,0,6,2,50,8846.367142857143
1,1,1,0,0,0,1,0,5,5,55,10549.214285714288
1,1,1,0,0,0,0,1,0,4,51,9123.343214285715
1,1,0,1,0,0,0,1,4,6,51,7625.390357142855
1,1,1,0,0,0,1,0,4,3,53,9841.75392857143
1,1,0,1,0,0,0,1,5,1,51,10032.178928571428
1,1,1,0,0,1,0,0,0,1,52,19297.95357142857
1,1,1,0,0,0,1,0,0,2,52,9646.160357142857
1,1,1,0,0,1,0,0,6,1,55,10685.253571428571
1,1,1,0,1,0,0,0,4,2,52,9888.01857142857
1,1,1,0,0,0,1,0,6,4,51,6893.9875
1,1,1,0,0,0,1,0,4,0,53,12314.210714285713
1,1,1,0,1,0,0,0,5,4,55,10611.689285714285
1,1,0,1,1,0,0,0,3,3,52,10519.596428571427
1,1,0,1,1,0,0,0,3,6,50,7206.391428571427
1,1,0,1,0,1,0,0,6,2,50,9650.707857142857
1,1,0,1,0,0,0,1,3,6,50,7261.772142857143
1,1,1,0,0,0,0,1,0,6,51,6950.106071428573
1,1,0,1,1,0,0,0,5,4,54,11211.185714285715
1,1,1,0,1,0,0,0,0,4,50,8752.993214285712
1,1,0,1,0,1,0,0,0,6,53,10882.92857142857
1,1,0,1,0,1,0,0,6,0,53,13489.067857142854
1,1,0,1,0,0,1,0,0,5,52,7943.976785714285
1,1,1,0,0,0,1,0,5,1,55,10708.682142857142
1,1,0,1,1,0,0,0,6,1,54,14082.460714285715
1,1,0,1,0,0,0,1,2,5,54,11269.842857142858
1,1,0,1,0,0,1,0,6,1,51,7668.067142857141
1,1,0,1,1,0,0,0,0,4,54,11294.982142857145
1,1,0,1,0,1,0,0,3,2,50,9661.805000000004
1,1,0,1,0,0,0,1,0,3,54,11219.30357142857
1,1,1,0,0,1,0,0,1,1,50,11001.096428571427
1,1,0,1,0,0,0,1,0,1,51,19957.067857142854
1,1,1,0,0,0,0,1,6,6,52,7407.595000000001
1,1,1,0,0,0,1,0,3,1,53,10010.391071428572
1,1,0,1,1,0,0,0,5,4,51,10042.556071428571
1,1,0,1,0,1,0,0,5,5,52,10494.314285714287
1,1,1,0,0,1,0,0,1,5,54,10385.996428571432
1,1,0,1,0,0,0,1,0,4,54,11245.514285714284
1,1,1,0,1,0,0,0,4,4,54,10212.689285714287
1,1,1,0,0,0,0,1,5,2,50,8774.999285714288
1,1,1,0,0,0,1,0,1,4,52,7265.192142857141
1,1,0,1,0,1,0,0,2,1,53,10844.342857142858
1,1,1,0,0,0,0,1,6,0,52,9797.427500000002
1,1,1,0,0,0,1,0,0,4,52,7270.348928571429
1,1,1,0,0,0,1,0,4,3,52,9725.628928571428
1,1,1,0,1,0,0,0,3,4,53,10207.74107142857
1,1,1,0,0,0,1,0,1,2,50,4422.172142857142
1,1,0,1,0,0,1,0,4,2,55,11742.775000000003
1,1,0,1,0,0,0,1,0,4,52,10478.160714285716
1,1,0,1,0,0,0,1,3,6,54,8476.712142857143
1,1,1,0,0,1,0,0,5,1,54,10406.028571428571
1,1,1,0,1,0,0,0,0,3,55,10613.828571428572
1,1,1,0,0,0,1,0,5,4,52,7234.396071428572
1,1,0,1,0,1,0,0,5,0,50,12077.692857142858
1,1,0,1,0,1,0,0,1,4,50,9633.61607142857
1,1,0,1,0,0,1,0,2,0,50,9782.72107142857
1,1,0,1,1,0,0,0,2,6,53,10785.642857142857
1,1,1,0,0,0,0,1,6,4,53,7564.95642857143
1,1,0,1,0,1,0,0,1,6,54,11243.674999999997
1,1,1,0,0,0,1,0,4,5,54,10239.614285714286
1,1,1,0,0,0,1,0,4,0,51,9564.535
1,1,0,1,0,1,0,0,0,6,51,9997.685000000001
1,1,0,1,0,0,1,0,2,1,55,14508.825
1,1,0,1,0,1,0,0,5,2,53,10824.607142857145
1,1,0,1,0,0,1,0,3,1,51,10107.5275
1,1,0,1,0,0,1,0,3,5,55,11635.971428571427
1,1,1,0,1,0,0,0,6,4,54,10369.07142857143
1,1,0,1,1,0,0,0,0,3,55,11645.692857142858
1,1,0,1,0,0,0,1,3,1,52,10674.835714285713
1,1,1,0,1,0,0,0,5,1,54,12881.475000000002
1,1,1,0,1,0,0,0,1,6,50,6647.824642857144
1,1,1,0,1,0,0,0,3,1,54,12802.132142857141
1,1,0,1,1,0,0,0,2,1,55,14543.028571428573
1,1,0,1,0,0,0,1,5,5,53,8250.779642857144
1,1,1,0,0,0,0,1,0,1,52,19209.41785714286
1,1,1,0,0,0,1,0,2,4,55,10591.30714285714
1,1,1,0,1,0,0,0,0,5,55,10588.753571428571
1,1,1,0,1,0,0,0,6,1,51,9188.268928571428
1,1,0,1,0,1,0,0,5,1,53,10849.942857142856
1,1,1,0,0,0,0,1,0,5,51,9104.079999999998
1,1,1,0,1,0,0,0,5,5,52,7328.257857142856
1,1,1,0,0,1,0,0,2,5,55,10725.035714285712
1,1,0,1,0,0,0,1,0,6,55,11638.635714285714
1,1,1,0,0,1,0,0,2,4,52,9765.267142857143
1,1,1,0,0,0,1,0,3,6,51,9166.829285714284
1,1,1,0,0,0,0,1,2,6,54,7771.373571428571
1,1,0,1,0,1,0,0,6,3,54,11298.660714285716
1,1,0,1,1,0,0,0,5,4,50,9639.533928571429
1,1,1,0,0,0,0,1,2,0,52,12435.092857142856
1,1,1,0,0,0,1,0,2,1,50,8892.2525
1,1,1,0,1,0,0,0,6,6,52,7203.802142857144
1,1,1,0,0,0,0,1,1,0,50,11118.817857142858
1,1,0,1,0,1,0,0,3,4,53,10837.399999999998
1,1,1,0,0,0,0,1,6,6,50,6690.715357142857
1,1,1,0,0,1,0,0,6,1,52,9528.759642857141
1,1,1,0,0,0,1,0,6,1,55,10563.278571428571
1,1,0,1,1,0,0,0,6,5,50,7289.836785714286
1,1,1,0,0,1,0,0,4,3,53,9903.713928571431
1,1,1,0,0,0,1,0,4,2,53,9963.192857142858
1,1,0,1,0,0,0,1,4,0,53,13656.06785714286
1,1,0,1,1,0,0,0,1,3,52,10548.29285714286
1,1,1,0,0,0,0,1,2,0,51,11409.235714285713
1,1,1,0,0,0,0,1,1,6,51,6866.978928571427
1,1,0,1,1,0,0,0,1,1,52,13142.107142857145
1,1,0,1,0,1,0,0,3,5,55,11626.80357142857
1,1,0,1,0,0,1,0,3,0,53,13480.65357142857
1,1,0,1,0,1,0,0,6,3,51,9986.335714285711
1,1,0,1,0,0,1,0,6,0,53,13583.10357142857
1,1,0,1,0,1,0,0,3,1,55,11651.160714285716
1,1,0,1,1,0,0,0,3,6,53,10913.05
1,1,0,1,0,0,0,1,3,4,53,8241.100714285714
1,1,0,1,0,0,1,0,2,2,50,7246.22857142857
1,1,1,0,0,0,0,1,4,3,51,6850.206071428569
1,1,1,0,1,0,0,0,6,4,50,9031.662142857143
1,1,0,1,0,0,0,1,0,5,54,11291.714285714284
1,1,1,0,1,0,0,0,5,6,50,6760.6792857142855
1,1,1,0,0,0,1,0,5,1,51,7023.923928571428
1,1,1,0,0,0,1,0,5,3,54,10259.324999999999
1,1,1,0,0,0,0,1,3,5,55,7943.472857142857
1,1,1,0,1,0,0,0,0,6,55,10604.282142857146
1,1,1,0,0,1,0,0,3,3,53,9933.668214285713
1,1,0,1,0,0,1,0,1,4,51,10155.850357142857
1,1,1,0,1,0,0,0,5,4,54,10387.192857142856
1,1,1,0,0,0,0,1,2,4,52,9934.675
1,1,1,0,1,0,0,0,2,2,53,9895.980714285713
1,1,0,1,0,1,0,0,4,4,54,11267.732142857143
1,1,0,1,0,0,1,0,3,6,51,9968.723571428573
1,1,1,0,0,0,0,1,3,2,52,9799.108214285714
1,1,1,0,1,0,0,0,5,2,55,10535.842857142858
1,1,1,0,1,0,0,0,3,6,52,7284.3099999999995
1,1,0,1,0,0,1,0,0,6,53,10804.928571428569
1,1,0,1,1,0,0,0,5,0,53,16139.242857142855
1,1,0,1,0,1,0,0,6,4,53,10816.32857142857
1,1,0,1,0,0,1,0,2,5,52,10607.560714285713
1,1,0,1,0,1,0,0,6,2,55,11635.628571428571
1,1,0,1,0,0,1,0,6,1,53,10809.757142857141
1,1,0,1,0,0,1,0,1,4,54,11255.067857142858
1,1,1,0,0,1,0,0,4,0,50,11059.235714285716
1,1,1,0,0,0,1,0,3,1,55,13195.414285714289
1,1,0,1,1,0,0,0,1,1,55,14887.460714285715
1,1,0,1,0,0,0,1,1,3,50,9645.074285714285
1,1,1,0,0,1,0,0,0,1,50,13537.710714285713
1,1,0,1,0,0,1,0,5,3,50,9638.307857142854
1,1,0,1,0,0,1,0,6,2,52,10516.392857142857
1,1,1,0,0,1,0,0,6,4,53,9957.4675
1,1,1,0,0,0,0,1,3,1,53,10339.8925
1,1,0,1,0,1,0,0,2,4,52,10408.403571428573
1,1,1,0,1,0,0,0,0,4,51,9169.559285714286
1,1,1,0,0,0,1,0,4,4,53,9857.061428571427
1,1,0,1,0,1,0,0,6,1,51,9990.495
1,1,1,0,0,1,0,0,4,6,52,7264.461785714287
1,1,0,1,0,1,0,0,3,1,51,10055.060714285715
1,1,0,1,0,1,0,0,6,5,52,7813.935714285713
1,1,0,1,0,0,1,0,3,3,54,11320.871428571429
1,1,0,1,0,0,1,0,2,1,52,13067.021428571428
1,1,0,1,0,0,0,1,2,1,51,10059.7175
1,1,0,1,1,0,0,0,1,5,53,10805.814285714285
1,1,0,1,0,1,0,0,1,0,53,24285.678571428576
1,1,1,0,1,0,0,0,4,1,55,13243.407142857146
1,1,1,0,1,0,0,0,2,4,51,9158.330714285714
1,1,0,1,0,1,0,0,6,5,50,7258.0364285714295
1,1,0,1,0,0,1,0,0,5,51,7539.1278571428575
1,1,0,1,1,0,0,0,0,2,55,14550.160714285714
1,1,0,1,0,0,0,1,4,5,54,8441.657142857142
1,1,1,0,0,0,0,1,6,5,50,6773.457857142857
1,1,0,1,0,0,0,1,1,1,50,12123.77142857143
1,1,0,1,0,0,0,1,5,6,52,7851.342857142855
1,1,1,0,1,0,0,0,1,1,53,12579.121428571429
1,1,1,0,0,0,0,1,2,3,55,10595.842857142856
1,1,0,1,1,0,0,0,3,2,53,10881.846428571429
1,1,0,1,0,1,0,0,5,4,53,10809.282142857142
1,1,0,1,1,0,0,0,6,0,51,15188.375
1,1,1,0,1,0,0,0,1,5,51,9112.8925
1,1,1,0,0,0,0,1,3,1,52,9729.737500000001
1,1,1,0,0,0,1,0,5,6,51,6868.429999999999
1,1,1,0,0,1,0,0,6,0,50,11050.185714285715
1,1,1,0,0,0,0,1,5,4,51,6861.115000000001
1,1,1,0,0,0,1,0,0,2,51,9248.386785714287
1,1,1,0,0,1,0,0,1,2,50,8793.119285714285
1,1,0,1,0,1,0,0,5,5,50,7237.580714285715
1,1,0,1,1,0,0,0,0,6,53,10842.30357142857
1,1,1,0,0,1,0,0,2,6,55,10679.996428571425
1,1,1,0,0,0,0,1,3,1,51,9118.509285714284
1,1,1,0,0,0,1,0,1,1,51,9078.679642857143
1,1,0,1,1,0,0,0,5,3,53,10840.210714285715
1,1,1,0,0,0,0,1,1,2,50,8840.397142857142
1,1,0,1,1,0,0,0,0,1,53,27226.228571428568
1,1,1,0,0,1,0,0,2,6,51,7029.800714285715
1,1,1,0,0,0,0,1,6,6,55,8003.4846428571445
1,1,1,0,0,0,1,0,0,6,51,6890.2078571428565
1,1,1,0,0,0,0,1,5,6,54,7675.251428571429
1,1,1,0,1,0,0,0,0,4,52,9623.4025
1,1,1,0,0,0,0,1,6,6,51,6961.493214285714
1,1,0,1,1,0,0,0,5,5,53,10863.05357142857
1,1,1,0,0,0,1,0,0,3,55,10584.432142857142
1,1,0,1,0,0,1,0,4,4,51,7551.162500000001
1,1,1,0,0,1,0,0,4,6,54,10358.728571428572
1,1,0,1,1,0,0,0,6,0,54,16868.750000000004
1,1,0,1,1,0,0,0,1,6,53,10848.499999999998
1,1,0,1,0,0,1,0,6,4,53,10863.992857142857
1,1,1,0,0,1,0,0,3,1,55,10632.489285714288
1,1,1,0,0,1,0,0,2,6,52,7140.008214285714
1,1,1,0,0,0,0,1,5,6,53,7538.664285714286
1,1,1,0,0,0,1,0,5,6,53,9875.156071428572
1,1,1,0,0,0,0,1,1,1,51,11514.785714285712
1,1,1,0,0,1,0,0,0,4,52,9626.654285714287
1,1,1,0,0,0,1,0,6,5,53,9863.005357142858
1,1,1,0,1,0,0,0,4,1,53,12724.935714285715
1,1,1,0,0,0,0,1,3,0,54,12887.300000000003
1,1,0,1,1,0,0,0,1,1,50,12174.132142857143
1,1,0,1,0,1,0,0,1,5,53,10802.003571428571
1,1,1,0,0,1,0,0,4,3,51,9269.61642857143
1,1,1,0,1,0,0,0,1,1,50,10996.842857142856
1,1,1,0,0,0,0,1,6,3,51,6819.452142857143
1,1,1,0,0,0,0,1,5,1,55,10623.807142857146
1,1,0,1,0,0,0,1,6,5,54,8478.072857142857
1,1,1,0,1,0,0,0,6,2,53,10082.104642857143
1,1,0,1,0,0,1,0,3,1,53,13501.47857142857
1,1,1,0,0,1,0,0,3,3,50,8996.183571428573
1,1,0,1,0,0,1,0,6,5,51,10097.345
1,1,0,1,1,0,0,0,5,2,51,9969.915357142858
1,1,0,1,0,0,0,1,1,6,51,7519.952142857143
1,1,1,0,0,0,1,0,1,6,50,6656.536428571429
1,1,1,0,1,0,0,0,3,1,52,11967.707142857145
1,1,0,1,0,0,0,1,4,2,54,11281.067857142856
1,1,0,1,0,1,0,0,2,4,55,11804.782142857144
1,1,0,1,0,0,1,0,2,3,50,7452.554999999999
1,1,1,0,1,0,0,0,6,5,50,6575.885714285714
1,1,0,1,1,0,0,0,4,4,53,10878.082142857145
1,1,1,0,1,0,0,0,1,4,55,10579.528571428571
1,1,0,1,0,0,1,0,0,3,52,8712.978928571429
1,1,0,1,0,0,0,1,2,6,55,8836.487857142854
1,1,0,1,1,0,0,0,1,6,52,7833.243214285712
1,1,0,1,1,0,0,0,3,3,54,11444.55
1,1,1,0,0,0,1,0,3,4,55,10546.846428571427
1,1,0,1,0,1,0,0,6,6,53,10798.110714285716
1,1,1,0,0,1,0,0,5,3,53,9961.509999999998
1,1,1,0,0,0,1,0,6,4,54,10259.8
1,1,1,0,0,1,0,0,4,6,53,9940.32035714286
1,1,1,0,0,1,0,0,6,5,53,9932.900714285714
1,1,0,1,0,0,0,1,3,5,54,8412.302857142857
1,1,0,1,0,0,1,0,4,4,55,11607.05357142857
1,1,0,1,0,0,0,1,0,5,55,11601.757142857143
1,1,0,1,0,0,0,1,4,1,53,10776.578571428572
1,1,0,1,1,0,0,0,4,2,55,11612.600000000002
1,1,0,1,1,0,0,0,4,1,54,14046.178571428576
1,1,0,1,0,0,0,1,2,4,51,10070.67857142857
1,1,1,0,1,0,0,0,4,3,50,8934.921071428571
1,1,0,1,0,0,0,1,6,3,52,7852.420714285714
1,1,1,0,0,1,0,0,3,0,50,11076.653571428573
1,1,1,0,1,0,0,0,3,2,50,8782.966071428571
1,1,1,0,0,0,1,0,4,3,55,10568.86071428571
1,1,0,1,0,0,1,0,1,5,52,7931.466428571431
1,1,0,1,0,1,0,0,5,6,52,7824.954642857144
1,1,1,0,0,1,0,0,6,6,54,7800.356428571428
1,1,1,0,1,0,0,0,4,3,53,10018.720714285713
